node_id,lat,lon
15027659,34.1235604,-118.226157
6725956544,34.1215235,-118.226166
14752110,34.1210911,-118.2223193
1669564266,34.1218974,-118.22067
1669564238,34.120692,-118.223714
1669564255,34.121505,-118.223685
1669571958,34.119742,-118.220939
14759629,34.109765,-118.20563
20939321,34.1093933,-118.2053199
15850817,34.1100606,-118.2058839
1669570851,34.1085898,-118.2080367
14759630,34.1049737,-118.2021772
17507321,34.1051589,-118.2023078
19808981,34.1038133,-118.2013444
6787735558,34.1056323,-118.200856
1784102609,34.1031189,-118.2028754
14759683,34.1062925,-118.1995198
1842153454,34.1051788,-118.1987403
14759760,34.1073431,-118.200272
7457091454,34.1065917,-118.1989053
19809027,34.1076451,-118.1996551
15349169,34.1074297,-118.2003364
14760044,34.1117275,-118.1884246
702233065,34.1122799,-118.1877401
19809016,34.1130973,-118.1894033
15679440,34.1113998,-118.189094
14760225,34.095282,-118.20184
21687745,34.0919906,-118.204035
20827692,34.1027495,-118.1961757
21507086,34.0921013,-118.1981902
14798411,34.0765136,-118.2156947
17737739,34.0765146,-118.214436
279072762,34.0792866,-118.2148254
27062259,34.0762611,-118.2164435
16588311,34.0736397,-118.2156338
123473364,34.0784114,-118.2172046
14798419,34.0765422,-118.2118339
18453032,34.076529,-118.2131428
35833869,34.075478,-118.211809
21650972,34.0792605,-118.2118917
14798642,34.0660207,-118.2115616
72448807,34.0660362,-118.2102257
72448746,34.0660072,-118.212903
14941347,34.0627814,-118.2112008
76369416,34.0675817,-118.21161
14854394,34.0904092,-118.1646876
29526111,34.0905671,-118.1648653
123131070,34.0901718,-118.1643001
122680051,34.0922223,-118.1620597
14854403,34.0890428,-118.171739
122739405,34.0904625,-118.1723346
1858030599,34.0888269,-118.1722405
14854407,34.0858773,-118.1874879
34632154,34.0857377,-118.1874568
26249875,34.0862519,-118.1875043
14854409,34.0832596,-118.1906677
122850053,34.0834671,-118.1909766
34632150,34.0831906,-118.190548
122697380,34.0815211,-118.1922752
14854410,34.0807515,-118.1929599
122850039,34.0813138,-118.1937137
544333911,34.079829,-118.1933555
14854412,34.0739007,-118.1965396
122727572,34.0738989,-118.1986952
122556271,34.0729837,-118.1971915
26249913,34.0758918,-118.1951849
14854413,34.0736942,-118.2117169
123756253,34.0719086,-118.2116808
18453031,34.0736754,-118.2130659
18882269,34.0737145,-118.2103647
14854775,34.1427674,-118.2281123
15338403,34.1427674,-118.2265244
14854782,34.1321308,-118.2331542
27549550,34.1308787,-118.2328913
122634167,34.1331122,-118.2333473
1785808840,34.1321291,-118.2350642
14854783,34.1229229,-118.2312065
123235474,34.1227808,-118.2310949
20958758,34.1231415,-118.2322599
16212824,34.125021,-118.2317179
14918242,34.1105782,-118.1796565
371966715,34.1116457,-118.1810348
18882262,34.1105685,-118.1785052
14919425,34.1045381,-118.1848777
21507173,34.1039695,-118.1907965
20939314,34.1055931,-118.1842434
25954604,34.1042049,-118.1830636
1852281771,34.1039052,-118.1852854
14919730,34.1040035,-118.1922862
21507176,34.1038428,-118.1922885
122995009,34.1054137,-118.1923061
24970608,34.1039895,-118.1915392
14919731,34.1032108,-118.192463
375026658,34.1029606,-118.1952092
14920187,34.114417,-118.1814569
20979978,34.1139649,-118.1801896
11335242597,34.1148318,-118.182627
1840845401,34.1154072,-118.180888
20979981,34.1134889,-118.1819936
14920985,34.0946238,-118.2060777
26187122,34.0936459,-118.2063419
2428339020,34.09389,-118.20657
14940281,34.0858089,-118.2599829
606441056,34.0861208,-118.260709
341333017,34.0852754,-118.2600379
341335956,34.0857448,-118.2598284
341332865,34.0853213,-118.2602617
14940283,34.0781305,-118.2631482
122681247,34.0790284,-118.262599
20400296,34.0776229,-118.2634827
122967892,34.07893,-118.2650171
14940287,34.0453296,-118.2842107
122656766,34.0449922,-118.2841884
21748274,34.0472784,-118.2842266
14940292,34.0907854,-118.3059884
123285762,34.0919184,-118.30673
122432086,34.0907825,-118.3069687
123519346,34.0907954,-118.3046308
14940433,34.0381152,-118.2840207
122918140,34.0379882,-118.2837255
122770966,34.0381729,-118.2847797
3584520465,34.0394954,-118.2840782
122918143,34.0375095,-118.2840185
14940434,34.0381727,-118.2858251
1613525136,34.0372287,-118.2876691
1840669350,34.0381729,-118.2848694
123454932,34.0381691,-118.2864442
1838295028,34.062994,-118.2109025
1838301287,34.0617825,-118.2126944
